ip,isBad
91.184.0.100,TRUE
66.235.200.146,TRUE
173.212.241.155,TRUE
69.16.211.7,TRUE
143.204.202.106,TRUE
204.11.56.48,TRUE
160.153.137.99,TRUE
134.209.185.241,TRUE
192.64.119.229,TRUE
192.64.119.76,TRUE
87.98.231.5,TRUE
192.64.119.128,TRUE
162.255.119.158,TRUE
5.182.210.2,TRUE
46.17.175.71,TRUE
217.160.0.195,TRUE
91.195.240.94,TRUE
37.17.224.135,TRUE
192.185.226.171,TRUE
198.49.23.144,TRUE
217.31.62.68,TRUE
62.84.240.236,TRUE
104.27.154.59,TRUE
160.153.249.141,TRUE
50.63.202.71,TRUE
35.213.138.62,TRUE
184.168.221.94,TRUE
208.91.197.91,TRUE
104.27.136.247,TRUE
52.213.230.141,TRUE
178.33.112.21,TRUE
69.172.201.153,TRUE
192.254.250.164,TRUE
35.214.211.130,TRUE
162.251.160.7,TRUE
104.18.42.96,TRUE
210.18.187.142,TRUE
192.64.119.160,TRUE
166.78.3.252,TRUE
81.88.48.71,TRUE
81.169.145.80,TRUE
157.245.78.47,TRUE
35.209.84.171,TRUE
217.160.0.206,TRUE
217.160.0.81,TRUE
157.230.120.63,TRUE
195.110.124.133,TRUE
91.195.240.126,TRUE
209.99.40.219,TRUE
192.64.119.178,TRUE
81.169.145.82,TRUE
91.142.254.65,TRUE
217.160.0.53,TRUE
185.66.41.59,TRUE
173.212.237.40,TRUE
198.71.233.96,TRUE
23.236.62.147,TRUE
74.220.199.6,TRUE
194.245.148.189,TRUE
162.255.119.144,TRUE
116.202.9.166,TRUE
192.185.0.218,TRUE
74.208.236.236,TRUE
81.169.145.149,TRUE
23.229.196.67,TRUE
3.234.181.234,TRUE
81.16.28.143,TRUE
103.81.86.54,TRUE
81.169.145.160,TRUE
162.241.24.95,TRUE
162.241.225.51,TRUE
98.124.199.43,TRUE
104.200.27.208,TRUE
160.153.138.219,TRUE
93.157.51.137,TRUE
206.188.192.84,TRUE
103.21.59.198,TRUE
199.34.228.67,TRUE
35.204.150.5,TRUE
217.160.0.69,TRUE
81.169.145.164,TRUE
104.27.144.76,TRUE
